CustomerID,CustomerName,FirstName,LastName,BirthDate,EmailAddress,username,fullname,CUIT,Country,Document,Agent
1,Tailspin Toys (Head Office),Jon,Yang,06/10/1971,jon24@adventure-works.com,jon24,Jon Yang,1492,Australia,AW00011000,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/37.0.2062.94 Chrome/37.0.2062.94 Safari/537.36"
2,"Tailspin Toys (Sylvanite, MT)",Eugene,Huang,10/05/1976,eugene10@adventure-works.com,eugene10,Eugene Huang,1496,Australia,AW00011001,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
3,"Tailspin Toys (Peeples Valley, AZ)",Ruben,Torres,09/02/1971,ruben35@adventure-works.com,ruben35,Ruben Torres,1498,Australia,AW00011002,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
4,"Tailspin Toys (Medicine Lodge, KS)",Christy,Zhu,14/08/1973,christy12@adventure-works.com,christy12,Christy Zhu,1498,Australia,AW00011003,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0
5,"Tailspin Toys (Gasport, NY)",Elizabeth,Johnson,05/08/1979,elizabeth5@adventure-works.com,elizabeth5,Elizabeth Johnson,1496,Australia,AW00011004,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9"
6,"Tailspin Toys (Jessie, ND)",Julio,Ruiz,01/08/1976,julio1@adventure-works.com,julio1,Julio Ruiz,1500,Australia,AW00011005,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4"
7,"Tailspin Toys (Frankewing, TN)",Janet,Alvarez,02/12/1976,janet9@adventure-works.com,janet9,Janet Alvarez,1500,Australia,AW00011006,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
8,"Tailspin Toys (Bow Mar, CO)",Marco,Mehta,06/11/1969,marco14@adventure-works.com,marco14,Marco Mehta,1496,Australia,AW00011007,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
9,"Tailspin Toys (Netcong, NJ)",Rob,Verhoff,04/07/1975,rob4@adventure-works.com,rob4,Rob Verhoff,1498,Australia,AW00011008,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
10,"Tailspin Toys (Wimbledon, ND)",Shannon,Carlson,29/09/1969,shannon38@adventure-works.com,shannon38,Shannon Carlson,,Australia,AW00011009,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0
11,"Tailspin Toys (Devault, PA)",Jacquelyn,Suarez,05/08/1969,jacquelyn20@adventure-works.com,jacquelyn20,Jacquelyn Suarez,,Australia,AW00011010,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko
12,"Tailspin Toys (Biscay, MN)",Curtis,Lu,03/05/1969,curtis9@adventure-works.com,curtis9,Curtis Lu,,Australia,AW00011011,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
13,"Tailspin Toys (Stonefort, IL)",Lauren,Walker,14/01/1979,lauren41@adventure-works.com,lauren41,Lauren Walker,,United States,AW00011012,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko
14,"Tailspin Toys (Long Meadow, MD)",Ian,Jenkins,03/08/1979,ian47@adventure-works.com,ian47,Ian Jenkins,,United States,AW00011013,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0
15,"Tailspin Toys (Batson, TX)",Sydney,Bennett,06/11/1973,sydney23@adventure-works.com,sydney23,Sydney Bennett,,United States,AW00011014,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/8.0.7 Safari/600.7.12"
16,"Tailspin Toys (Coney Island, MO)",Chloe,Young,26/08/1984,chloe23@adventure-works.com,chloe23,Chloe Young,,United States,AW00011015,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
17,"Tailspin Toys (East Fultonham, OH)",Wyatt,Hill,25/10/1984,wyatt32@adventure-works.com,wyatt32,Wyatt Hill,,United States,AW00011016,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:40.0) Gecko/20100101 Firefox/40.0
18,"Tailspin Toys (Goffstown, NH)",Shannon,Wang,24/12/1949,shannon1@adventure-works.com,shannon1,Shannon Wang,,Australia,AW00011017,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/7.1.8 Safari/537.85.17"
19,"Tailspin Toys (Lemeta, AK)",Clarence,Rai,06/10/1955,clarence32@adventure-works.com,clarence32,Clarence Rai,,Australia,AW00011018,"Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
20,"Tailspin Toys (College Place, WA)",Luke,Lal,04/09/1983,luke18@adventure-works.com,luke18,Luke Lal,,Canada,AW00011019,"Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4"
21,"Tailspin Toys (Tresckow, PA)",Jordan,King,19/03/1984,jordan73@adventure-works.com,jordan73,Jordan King,,Canada,AW00011020,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0
22,"Tailspin Toys (Ward Ridge, FL)",Destiny,Wilson,02/03/1984,destiny7@adventure-works.com,destiny7,Destiny Wilson,,United States,AW00011021,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
23,"Tailspin Toys (Ikatan, AK)",Ethan,Zhang,10/04/1984,ethan20@adventure-works.com,ethan20,Ethan Zhang,,United States,AW00011022,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
24,"Tailspin Toys (Dundarrach, NC)",Seth,Edwards,09/04/1984,seth46@adventure-works.com,seth46,Seth Edwards,,United States,AW00011023,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko
25,"Tailspin Toys (Avenal, CA)",Russell,Xie,16/03/1984,russell7@adventure-works.com,russell7,Russell Xie,,United States,AW00011024,Mozilla/5.0 (Windows NT 5.1; rv:40.0) Gecko/20100101 Firefox/40.0
26,"Tailspin Toys (Hedrick, IA)",Alejandro,Beck,22/06/1951,alejandro45@adventure-works.com,alejandro45,Alejandro Beck,,Australia,AW00011025,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
