FirstName,LastName,fullname,Document,BirthDate,campaign
Miguel,Adams,Miguel Adams,AW00011659,20/10/1974,Mountain-100 Clearance Sale
Miranda,Gonzales,Miranda Gonzales,AW00011660,19/01/1980,Sport Helmet Discount-2002
Jeremiah,James,Jeremiah James,AW00011661,03/01/1981,Road-650 Overstock
Ethan,Kumar,Ethan Kumar,AW00011662,01/01/1976,Mountain Tire Sale
Seth,Williams,Seth Williams,AW00011663,25/08/1975,Sport Helmet Discount-2003
Alyssa,Morgan,Alyssa Morgan,AW00011664,09/08/1975,Mountain-100 Clearance Sale
Janet,Dominguez,Janet Dominguez,AW00011665,11/06/1976,Sport Helmet Discount-2003
Angel,Baker,Angel Baker,AW00011666,13/12/1981,Road-650 Overstock
Blake,Moore,Blake Moore,AW00011667,18/12/1972,Mountain Tire Sale
Jada,Collins,Jada Collins,AW00011668,02/03/1984,Sport Helmet Discount-2004
Isabella,Simmons,Isabella Simmons,AW00011669,17/10/1978,Mountain-100 Clearance Sale
Jacqueline,Perry,Jacqueline Perry,AW00011670,15/04/1973,Sport Helmet Discount-2004
Jessica,Brown,Jessica Brown,AW00011671,15/11/1971,Road-650 Overstock
Chad,Jai,Chad Jai,AW00011672,20/03/1972,Mountain Tire Sale
Susan,Ye,Susan Ye,AW00011673,03/02/1977,Sport Helmet Discount-2005
Morgan,Rogers,Morgan Rogers,AW00011674,15/02/1972,Mountain-100 Clearance Sale
Devin,Martinez,Devin Martinez,AW00011675,29/01/1977,Sport Helmet Discount-2005
Alan,Hu,Alan Hu,AW00011676,13/08/1971,Road-650 Overstock
Charles,Walker,Charles Walker,AW00011677,10/10/1980,Mountain Tire Sale
Johnny,Chavez,Johnny Chavez,AW00011678,28/07/1974,Sport Helmet Discount-2006
Dalton,Richardson,Dalton Richardson,AW00011679,05/11/1974,Mountain-100 Clearance Sale
Kaylee,Nelson,Kaylee Nelson,AW00011680,04/03/1975,Sport Helmet Discount-2006
Abigail,Jones,Abigail Jones,AW00011681,04/02/1975,Road-650 Overstock
Kaitlyn,Hall,Kaitlyn Hall,AW00011682,12/03/1980,Mountain Tire Sale
Greg,Taylor,Greg Taylor,AW00011683,05/07/1974,Sport Helmet Discount-2007
Devin,Parker,Devin Parker,AW00011684,31/03/1971,Mountain-100 Clearance Sale
Jose,Griffin,Jose Griffin,AW00011685,07/08/1970,Sport Helmet Discount-2007
Luke,Edwards,Luke Edwards,AW00011686,09/04/1976,Road-650 Overstock
Cody,Torres,Cody Torres,AW00011687,09/07/1976,Mountain Tire Sale
Victoria,Morris,Victoria Morris,AW00011688,21/12/1976,Sport Helmet Discount-2008
Ian,Diaz,Ian Diaz,AW00011689,06/03/1971,Mountain-100 Clearance Sale
Caroline,Butler,Caroline Butler,AW00011690,10/01/1976,Sport Helmet Discount-2008
Kaitlyn,Wilson,Kaitlyn Wilson,AW00011691,30/12/1974,Road-650 Overstock
Caleb,Gonzales,Caleb Gonzales,AW00011692,17/12/1969,Mountain Tire Sale
Hailey,Diaz,Hailey Diaz,AW00011693,21/09/1975,Sport Helmet Discount-2009
Jonathon,Ortega,Jonathon Ortega,AW00011694,21/09/1969,Mountain-100 Clearance Sale
Logan,Campbell,Logan Campbell,AW00011695,10/07/1969,Sport Helmet Discount-2009
Mackenzie,Campbell,Mackenzie Campbell,AW00011696,02/04/1975,Road-650 Overstock
Eduardo,Lee,Eduardo Lee,AW00011697,21/06/1975,Mountain Tire Sale
Jackson,Wright,Jackson Wright,AW00011698,22/11/1975,Sport Helmet Discount-2010
Chase,Peterson,Chase Peterson,AW00011699,12/09/1968,Mountain-100 Clearance Sale
Xavier,Richardson,Xavier Richardson,AW00011700,24/05/1969,Sport Helmet Discount-2010
David,Hayes,David Hayes,AW00011701,16/08/1985,Road-650 Overstock
Jenny,Zhou,Jenny Zhou,AW00011702,13/10/1974,Mountain Tire Sale
Kaylee,Baker,Kaylee Baker,AW00011703,22/12/1973,Sport Helmet Discount-2011
Evan,Hernandez,Evan Hernandez,AW00011704,29/11/1973,Mountain-100 Clearance Sale
Brooke,Richardson,Brooke Richardson,AW00011705,18/05/1979,Sport Helmet Discount-2011
Blake,Perez,Blake Perez,AW00011706,13/08/1968,Road-650 Overstock
Natalie,Cook,Natalie Cook,AW00011707,20/06/1969,Mountain Tire Sale
Elizabeth,Weisman,Elizabeth Weisman,AW00011708,15/09/1974,Sport Helmet Discount-2012
Hailey,Collins,Hailey Collins,AW00011709,18/08/1968,Mountain-100 Clearance Sale
Zoe,Ramirez,Zoe Ramirez,AW00011710,17/09/1967,Sport Helmet Discount-2012
Daniel,Davis,Daniel Davis,AW00011711,04/12/1973,Road-650 Overstock
Shelby,Rogers,Shelby Rogers,AW00011712,02/05/1968,Mountain Tire Sale
Kyle,Zhang,Kyle Zhang,AW00011713,17/09/1967,Sport Helmet Discount-2013
Alexandria,Long,Alexandria Long,AW00011714,16/04/1968,Mountain-100 Clearance Sale
Chloe,Robinson,Chloe Robinson,AW00011715,20/03/1968,Sport Helmet Discount-2013
Evan,Kelly,Evan Kelly,AW00011716,20/04/1967,Road-650 Overstock
Marcus,Jones,Marcus Jones,AW00011717,29/08/1972,Mountain Tire Sale
Sarah,Jones,Sarah Jones,AW00011718,10/11/1972,Sport Helmet Discount-2014
Blake,Green,Blake Green,AW00011719,05/05/1971,Mountain-100 Clearance Sale
Morgan,Morris,Morgan Morris,AW00011720,23/09/1965,Sport Helmet Discount-2014
Jennifer,Alexander,Jennifer Alexander,AW00011721,18/01/1971,Road-650 Overstock
Julian,Hughes,Julian Hughes,AW00011722,30/12/1965,Mountain Tire Sale
Luke,Coleman,Luke Coleman,AW00011723,17/02/1973,Sport Helmet Discount-2015
Jason,Carter,Jason Carter,AW00011724,12/10/1972,Mountain-100 Clearance Sale
Jose,Li,Jose Li,AW00011725,16/03/1973,Sport Helmet Discount-2015
Micah,Liang,Micah Liang,AW00011726,13/01/1973,Road-650 Overstock
Benjamin,Taylor,Benjamin Taylor,AW00011727,05/01/1973,Mountain Tire Sale
Logan,White,Logan White,AW00011728,06/07/1965,Sport Helmet Discount-2016
Caleb,Campbell,Caleb Campbell,AW00011729,03/05/1971,Mountain-100 Clearance Sale
Emma,Torres,Emma Torres,AW00011730,01/04/1966,Sport Helmet Discount-2016
Tanya,Gill,Tanya Gill,AW00011731,16/02/1966,Road-650 Overstock
Erick,Sanchez,Erick Sanchez,AW00011732,04/02/1970,Mountain Tire Sale
Kristi,Schmidt,Kristi Schmidt,AW00011733,23/07/1970,Sport Helmet Discount-2017
Omar,Chen,Omar Chen,AW00011734,21/08/1970,Mountain-100 Clearance Sale
